kin_id,banner_number,name,relationship,street,city,postcode,phone
70,B0000070,Diana Wilson,Parent,664 Pine Ln,Oakville,74250,(262) 347-9796
71,B0000071,Heidi Smith,Friend,848 Oak Ave,Greenville,20926,(534) 551-1644
72,B0000072,Charlie Moore,Sibling,601 Birch Ct,Brookside,68303,(933) 558-8767
73,B0000073,Frank Jones,Spouse,368 Birch Ct,Rivertown,42259,(494) 130-6094
74,B0000074,Alice Smith,Friend,388 Birch Ct,Fairview,97347,(891) 237-4242
75,B0000075,Frank Wilson,Other Relative,561 Maple Dr,Rivertown,48679,(767) 749-9769
76,B0000076,Ivan Moore,Friend,482 Cedar Blvd,Fairview,40025,(605) 755-7989
77,B0000077,Alice Wilson,Friend,770 Elm Rd,Maplewood,46201,(825) 504-8696
78,B0000078,Judy Smith,Other Relative,321 Maple Dr,Maplewood,60452,(409) 153-9832
79,B0000079,Frank Moore,Sibling,481 Willow Way,Lakeside,60203,(817) 997-9179
80,B0000080,Bob Jones,Friend,718 Birch Ct,Maplewood,18134,(598) 983-3196
81,B0000081,Charlie Jones,Sibling,869 Oak Ave,Springfield,91818,(176) 140-8353
82,B0000082,Ivan Jones,Sibling,281 Cedar Blvd,Fairview,54632,(765) 446-3924
83,B0000083,Grace Moore,Parent,248 Main St,Oakville,43972,(912) 399-1848
84,B0000084,Judy Brown,Sibling,962 Oak Ave,Springfield,71903,(120) 346-4582
85,B0000085,Charlie Brown,Child,726 Maple Dr,Fairview,99807,(815) 136-7068
86,B0000086,Frank Brown,Parent,163 Willow Way,Oakville,16499,(974) 174-1305
87,B0000087,Judy Brown,Other Relative,360 Willow Way,Lakeside,96768,(804) 789-9078
88,B0000088,Diana Smith,Parent,755 Oak Ave,Fairview,16637,(248) 390-8568
89,B0000089,Frank Davis,Child,252 Willow Way,Brookside,64672,(923) 240-6646
90,B0000090,Ivan Davis,Sibling,929 Birch Ct,Oakville,16648,(383) 287-8082
91,B0000091,Judy Miller,Friend,214 Oak Ave,Springfield,42746,(454) 396-2060
92,B0000092,Bob Wilson,Parent,682 Willow Way,Lakeside,84800,(547) 862-9713
93,B0000093,Frank Moore,Parent,699 Maple Dr,Springfield,78876,(706) 787-4397
94,B0000094,Alice Moore,Child,315 Cedar Blvd,Oakville,20091,(707) 282-8952
95,B0000095,Judy Davis,Friend,344 Main St,Lakeside,16746,(964) 544-4832
96,B0000096,Diana Williams,Friend,317 Oak Ave,Lakeside,67867,(694) 664-6227
97,B0000097,Bob Taylor,Parent,351 Birch Ct,Fairview,85771,(816) 289-4596
98,B0000098,Diana Smith,Other Relative,670 Maple Dr,Oakville,56854,(668) 773-2694
99,B0000099,Charlie Davis,Child,140 Cedar Blvd,Rivertown,24202,(924) 664-3773
100,B0000100,Charlie Wilson,Spouse,756 Willow Way,Oakville,61273,(914) 623-4124
