lease_id,banner_number,place_number,lease_duration_semesters,start_date,end_date,address,room_number
68,B0000068,364,6,2022-08-20,2025-02-05,"418 Pine Ln, Rivertown, NY 32912",3A86
69,B0000069,137,8,2022-08-07,2025-11-19,"820 Pine Ln, Springfield, NY 63431",9A36
70,B0000070,470,2,2020-01-09,2020-09-05,"416 Birch Ct, Brookside, FL 61928",1A72
71,B0000071,169,4,2020-01-06,2021-04-30,"578 Elm Rd, Brookside, TX 44775",4B36
72,B0000072,210,5,2023-01-04,2024-08-26,"263 Birch Ct, Fairview, FL 23426",7C60
73,B0000073,277,5,2022-01-06,2024-01-26,"269 Elm Rd, Lakewood, CA 18145",5A54
74,B0000074,283,2,2023-08-07,2024-04-03,"151 Cedar Blvd, Fairview, NY 20945",5C83
75,B0000075,221,7,2020-08-09,2022-11-27,"932 Main St, Lakewood, NY 61071",8B88
76,B0000076,387,4,2020-01-01,2021-04-25,"980 Oak Ave, Rivertown, FL 96594",1C78
77,B0000077,366,7,2022-08-14,2025-06-29,"221 Maple Dr, Fairview, TX 30074",5B81
78,B0000078,133,2,2021-08-05,2022-06-01,"182 Elm Rd, Fairview, CA 39843",4A70
79,B0000079,492,4,2020-08-27,2022-04-19,"968 Elm Rd, Brookside, NY 49508",1D12
80,B0000080,272,6,2022-01-26,2024-07-14,"558 Oak Ave, Springfield, TX 68932",4C62
81,B0000081,402,1,2020-01-11,2020-05-10,"332 Pine Ln, Lakewood, TX 34885",2A81
82,B0000082,128,1,2022-01-11,2022-05-11,"911 Oak Ave, Springfield, IL 21605",6D89
83,B0000083,387,6,2022-08-04,2025-01-20,"716 Maple Dr, Rivertown, NY 69671",1B31
84,B0000084,191,5,2022-01-15,2023-09-07,"674 Elm Rd, Lakewood, FL 29059",8B68
85,B0000085,344,3,2022-08-18,2023-11-11,"317 Cedar Blvd, Brookside, IL 65773",5A76
86,B0000086,356,1,2021-08-12,2022-01-09,"114 Elm Rd, Rivertown, IL 15139",4B97
87,B0000087,173,6,2022-01-13,2024-01-03,"489 Birch Ct, Lakewood, FL 22651",4B77
88,B0000088,394,8,2021-08-08,2024-03-25,"140 Elm Rd, Springfield, IL 60378",4D52
89,B0000089,261,6,2023-01-15,2025-01-04,"646 Elm Rd, Rivertown, IL 55201",9C19
90,B0000090,280,1,2023-01-08,2023-06-07,"933 Oak Ave, Springfield, IL 98109",2C50
91,B0000091,493,6,2020-01-05,2021-12-25,"595 Elm Rd, Brookside, CA 79687",7C61
92,B0000092,385,8,2023-01-27,2025-09-13,"623 Birch Ct, Springfield, NY 44883",5B72
93,B0000093,300,1,2022-01-16,2022-05-16,"701 Pine Ln, Lakewood, IL 41315",1A71
94,B0000094,240,8,2021-01-28,2023-09-15,"729 Main St, Fairview, NY 86701",3B22
95,B0000095,188,5,2022-01-02,2024-01-22,"386 Cedar Blvd, Brookside, TX 26022",3B24
96,B0000096,335,7,2021-01-17,2023-12-03,"164 Birch Ct, Brookside, IL 31214",4C24
97,B0000097,388,6,2023-08-25,2025-08-14,"644 Maple Dr, Brookside, CA 25369",5C93
98,B0000098,388,5,2023-08-25,2025-09-13,"260 Main St, Springfield, CA 87937",6B94
99,B0000099,456,6,2021-01-22,2023-07-11,"775 Maple Dr, Springfield, FL 14952",7A76
100,B0000100,164,6,2021-08-26,2024-02-12,"133 Oak Ave, Rivertown, IL 64447",2C35
